City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Kurilsk,RU,2020-10-29 18:15:24,45.23,147.88,48.58,87,90,14.2
154,Mahebourg,MU,2020-10-29 18:15:24,-20.41,57.7,71.01,63,39,5.01
155,Bethel,US,2020-10-29 18:15:25,41.37,-73.41,46.4,93,90,8.05
156,Tuktoyaktuk,CA,2020-10-29 18:15:25,69.45,-133.04,5.77,94,94,5.41
157,Povenets,RU,2020-10-29 18:15:25,62.85,34.83,45.68,91,80,9.33
158,Popondetta,PG,2020-10-29 18:15:25,-8.75,148.25,72.93,95,100,3.53
159,Bandiagara,ML,2020-10-29 18:15:25,14.35,-3.61,87.8,48,0,9.17
160,Dabeiba,CO,2020-10-29 18:15:25,7.0,-76.27,80.78,73,33,3.44
161,Miri,MY,2020-10-29 18:15:26,4.41,114.01,77.0,94,40,5.44
162,Boa Esperanca,BR,2020-10-29 18:15:26,-21.09,-45.57,87.42,41,95,5.64
163,La Palma,US,2020-10-29 18:15:26,33.85,-118.05,75.2,33,1,2.37
164,San Patricio,US,2020-10-29 18:15:26,28.02,-97.52,68.0,40,20,25.28
165,Severo-Kurilsk,RU,2020-10-29 18:14:20,50.68,156.12,41.5,79,63,5.68
166,Vardo,NO,2020-10-29 18:15:26,70.37,31.11,33.8,78,90,18.34
167,Port Macquarie,AU,2020-10-29 18:15:27,-31.43,152.92,51.01,100,40,3.42
168,Trairi,BR,2020-10-29 18:10:32,-3.28,-39.27,85.77,56,3,16.93
169,Castro,BR,2020-10-29 18:15:27,-24.79,-50.01,78.3,44,99,10.36
170,Port Elizabeth,ZA,2020-10-29 18:15:27,-33.92,25.57,59.0,82,75,21.92
171,Ouegoa,NC,2020-10-29 18:15:28,-20.35,164.43,73.44,76,40,10.89
172,Port Shepstone,ZA,2020-10-29 18:15:28,-30.74,30.45,69.8,84,99,9.13
173,Bongandanga,CD,2020-10-29 18:15:28,1.5,21.05,68.92,99,100,1.79
174,Toba,JP,2020-10-29 18:15:28,34.48,136.85,55.0,68,87,5.01
175,Imbituba,BR,2020-10-29 18:15:28,-28.24,-48.67,75.2,73,20,14.99
176,Port Hedland,AU,2020-10-29 18:15:14,-20.32,118.57,75.2,88,72,11.41
177,Gejiu,CN,2020-10-29 18:15:28,23.31,103.16,51.82,100,98,2.8
178,Parry Sound,CA,2020-10-29 18:15:29,45.35,-80.03,39.99,87,100,4.0
179,Juneau,US,2020-10-29 18:14:06,58.3,-134.42,39.2,93,90,9.17
180,Maningrida,AU,2020-10-29 18:15:29,-12.07,134.27,78.37,54,90,2.1
181,Nhulunbuy,AU,2020-10-29 18:15:29,-12.23,136.77,71.6,94,93,4.36
182,Leningradskiy,RU,2020-10-29 18:15:29,69.38,178.42,14.49,87,28,12.24
183,Broome,US,2020-10-29 18:15:30,42.25,-75.83,45.0,93,90,5.82
184,Caravelas,BR,2020-10-29 18:15:30,-17.71,-39.25,82.44,68,96,13.76
185,Hasaki,JP,2020-10-29 18:11:48,35.73,140.83,53.6,71,75,9.17
186,Barrow,US,2020-10-29 18:15:30,71.29,-156.79,12.2,85,90,11.41
187,Umm Lajj,SA,2020-10-29 18:15:17,25.02,37.27,80.94,53,0,3.11
188,Mar Del Plata,AR,2020-10-29 18:14:32,-38.0,-57.56,55.4,62,75,13.87
189,Salalah,OM,2020-10-29 18:14:10,17.02,54.09,80.6,65,0,4.7
190,Aklavik,CA,2020-10-29 18:15:31,68.22,-135.01,13.05,95,99,2.51
191,Pacific Grove,US,2020-10-29 18:15:31,36.62,-121.92,62.6,29,1,6.24
192,Kaitangata,NZ,2020-10-29 18:14:13,-46.28,169.85,53.01,94,78,1.01
193,Sassandra,CI,2020-10-29 18:15:31,4.95,-6.08,79.07,83,51,5.73
194,Brigantine,US,2020-10-29 18:15:31,39.41,-74.36,64.0,100,90,5.82
195,Hofn,IS,2020-10-29 18:15:32,64.25,-15.21,46.4,81,90,11.41
196,Rabat,MA,2020-10-29 18:15:32,33.99,-6.84,66.99,72,20,5.82
197,Molchanovo,RU,2020-10-29 18:15:32,57.58,83.77,23.47,97,100,9.1
198,Guarapari,BR,2020-10-29 18:15:32,-20.67,-40.5,86.0,70,20,19.46
199,Bayir,TR,2020-10-29 18:15:32,37.27,28.22,64.4,82,40,6.93
200,Ponta Do Sol,PT,2020-10-29 18:15:33,32.67,-17.1,71.6,64,40,11.41
201,Mount Gambier,AU,2020-10-29 18:14:16,-37.83,140.77,51.8,93,90,6.93
202,Fortuna,US,2020-10-29 18:15:33,40.6,-124.16,62.01,47,1,3.36
203,Mpulungu,ZM,2020-10-29 18:15:33,-8.76,31.11,80.98,46,53,1.54
204,Chibuto,MZ,2020-10-29 18:15:33,-24.69,33.53,79.92,46,0,8.86
205,Sabha,LY,2020-10-29 18:15:33,27.04,14.43,70.5,37,0,11.97
206,Guerrero Negro,MX,2020-10-29 18:14:59,27.98,-114.06,76.1,21,57,2.91
207,Komsomolskiy,UZ,2020-10-29 18:15:33,40.43,71.72,44.6,39,1,9.17
208,College,US,2020-10-29 18:15:34,64.86,-147.8,17.6,78,90,3.36
209,Goderich,CA,2020-10-29 18:12:13,43.75,-81.72,50.0,85,100,5.99
210,Plettenberg Bay,ZA,2020-10-29 18:15:34,-34.05,23.37,57.74,70,100,15.37
211,Khanino,RU,2020-10-29 18:15:34,54.21,36.62,39.2,93,0,4.47
212,Wilmington,US,2020-10-29 18:15:34,34.23,-77.94,82.4,69,75,33.33
213,Kamenka,RU,2020-10-29 18:15:35,51.32,42.77,46.0,56,72,10.42
214,Ancud,CL,2020-10-29 18:14:30,-41.87,-73.82,57.2,54,20,11.41
215,Muyezerskiy,RU,2020-10-29 18:15:39,63.93,31.65,45.66,80,97,11.48
216,Alta Floresta,BR,2020-10-29 18:15:39,-9.88,-56.09,93.2,49,40,5.82
217,Torbay,CA,2020-10-29 18:14:23,47.67,-52.73,41.0,82,72,9.08
218,Malartic,CA,2020-10-29 18:15:39,48.13,-78.13,26.01,64,45,4.0
219,Montrose,US,2020-10-29 18:15:40,38.42,-108.27,48.99,63,0,4.0
220,Nanortalik,GL,2020-10-29 18:15:40,60.14,-45.24,31.87,94,100,9.62
221,Chanal,MX,2020-10-29 18:15:40,16.72,-92.4,82.4,65,40,3.36
222,Bethanien,NA,2020-10-29 18:15:40,-26.5,17.16,68.4,33,50,15.14
223,Rovaniemi,FI,2020-10-29 18:15:40,66.5,25.72,39.2,100,90,6.93
224,Santa Cruz Del Sur,CU,2020-10-29 18:15:40,20.71,-78.0,85.5,69,7,9.01
225,Novaya Ladoga,RU,2020-10-29 18:15:40,60.1,32.3,50.0,99,100,10.09
226,Boende,CD,2020-10-29 18:15:40,-0.22,20.87,69.48,94,100,0.87
227,Zyryanka,RU,2020-10-29 18:15:40,65.75,150.85,1.96,94,100,4.52
228,Lorengau,PG,2020-10-29 18:15:41,-2.02,147.27,81.63,79,100,7.94
229,Albert,FR,2020-10-29 18:15:41,50.0,2.65,55.4,87,75,16.11
230,Victoria,HK,2020-10-29 18:11:52,22.29,114.16,75.99,82,92,1.01
231,Kodiak,US,2020-10-29 18:15:41,57.79,-152.41,28.4,74,1,5.82
232,Panguna,PG,2020-10-29 18:15:41,-6.32,155.48,68.88,100,100,1.74
233,Baherden,TM,2020-10-29 18:15:41,38.44,57.43,50.81,35,42,12.3
234,Monroe,US,2020-10-29 18:15:42,43.15,-77.68,48.0,100,90,5.82
235,Sovetskiy,RU,2020-10-29 18:15:42,61.36,63.58,35.33,90,36,9.48
236,Marsabit,KE,2020-10-29 18:15:42,2.33,37.99,67.01,83,93,12.35
237,Yulara,AU,2020-10-29 18:15:42,-25.24,130.99,68.0,30,40,10.29
238,Port Pirie,AU,2020-10-29 18:15:42,-33.18,138.02,55.4,87,75,17.22
239,Denpasar,ID,2020-10-29 18:13:30,-8.65,115.22,78.75,84,73,4.59
240,Yar-Sale,RU,2020-10-29 18:15:43,66.83,70.83,14.18,96,100,8.28
241,Ridgecrest,US,2020-10-29 18:15:43,35.62,-117.67,73.99,13,1,2.66
242,Puerto Rico,AR,2020-10-29 18:15:43,-26.8,-55.02,83.08,42,100,7.52
243,Kerur,IN,2020-10-29 18:15:43,16.02,75.57,71.49,72,75,1.14
244,Tura,IN,2020-10-29 18:15:43,25.52,90.22,71.62,87,6,3.76
245,Harper,LR,2020-10-29 18:14:25,4.38,-7.72,78.66,87,61,6.42
246,Jingdezhen,CN,2020-10-29 18:15:44,29.29,117.21,59.79,93,6,2.71
247,Arlit,NE,2020-10-29 18:15:44,18.74,7.39,87.12,12,0,17.11
248,Yeppoon,AU,2020-10-29 18:12:49,-23.13,150.73,71.6,88,90,4.7
249,Comodoro Rivadavia,AR,2020-10-29 18:15:37,-45.87,-67.5,62.6,36,0,10.29
250,Griffith,US,2020-10-29 18:15:44,41.53,-87.42,48.0,81,90,19.46
